unixTime,leftRearCompression,rightRearCompression,leftFrontCompression,rightFrontCompression,steeringAngle
637238813899865245,0.4068276,0.4068266,0.4068272,0.4068264,0
637238813900433727,0.419855,0.4195547,0.4174925,0.4173846,0
637238813909818867,0.5296213,0.530472,0.5261407,0.5263304,0
637238813910756347,0.5035769,0.5032584,0.5064645,0.5065078,0
637238813910995887,0.5049948,0.5047503,0.5058852,0.5058669,0
637238813911205161,0.5063198,0.5062245,0.5058221,0.5057748,0
637238813911863402,0.4536898,0.4531004,0.4486035,0.4460173,0
637238813912033019,0.4014831,0.3999852,0.3908954,0.388932,0
637238813912202497,0.3610023,0.3590585,0.3427941,0.3408352,0
637238813912461914,0.3329924,0.3307427,0.3038067,0.3017381,0
637238813912631341,0.3212626,0.3193792,0.2890283,0.284217,0
637238813912780936,0.324829,0.3249195,0.286329,0.2828506,0
637238813913379337,0.3874308,0.3940982,0.3141388,0.3199955,0
637238813913528963,0.4167407,0.4252376,0.3330095,0.3400845,0
637238813913778289,0.4452711,0.4566806,0.3529261,0.3617856,0
637238813913937849,0.4714371,0.4863803,0.3727902,0.3836917,0
637238813914107394,0.4936979,0.5133216,0.3916298,0.4043169,0
637238813914257032,0.4936979,0.5133216,0.3916298,0.4043169,0
637238813914536262,0.5211826,0.5345574,0.4213781,0.4384278,0
637238813915044910,0.5217593,0.5192431,0.4408286,0.4615228,0
637238813915264364,0.517372,0.510914,0.4467545,0.4690445,0
637238813916591025,0.5037594,0.5088207,0.4391005,0.4672737,0
637238813917286750,0.4429633,0.4681157,0.4074959,0.4359695,0
637238813917396524,0.4304788,0.4538302,0.4013511,0.428679,0
637238813917645795,0.421084,0.4420936,0.3967279,0.4224865,0
637238813917954960,0.4126201,0.4279095,0.3926275,0.4140695,0
637238813918533427,0.4237775,0.4288146,0.3983935,0.4107215,0
637238813918692988,0.4321412,0.4334902,0.4026049,0.4113315,0
637238813918882564,0.4417752,0.4394639,0.407347,0.4124661,0
637238813919171711,0.451911,0.4461998,0.4123873,0.4138886,0
637238813919321312,0.4620103,0.4531434,0.4173525,0.415352,0
637238813919480876,0.4714067,0.4598171,0.4219048,0.416624,0
637238813920015830,0.4865288,0.4706947,0.428999,0.4178696,0
637238813920165431,0.4918107,0.4743573,0.4312776,0.4176661,0
637238813920424799,0.4952487,0.4766627,0.4326498,0.4168564,0
637238813920624205,0.4969211,0.477657,0.4331385,0.4154329,0
637238813920793751,0.4970069,0.4772734,0.4328434,0.4134099,0
637238813921008661,0.4956212,0.4753561,0.4318733,0.4110213,0
637238813921587171,0.4859272,0.4655753,0.426796,0.4033145,0
637238813921941578,0.4778042,0.4587795,0.4231323,0.3995427,0
637238813922061260,0.4739991,0.4560176,0.4215954,0.3984303,0
637238813922260824,0.4705999,0.4538858,0.4203651,0.3979288,0
637238813922589915,0.4677194,0.4524783,0.419482,0.3980645,0
637238813923123799,0.4624668,0.4527665,0.418788,0.4020669,0
637238813923313290,0.4617643,0.4541999,0.41912,0.4044027,0
637238813923472860,0.4614525,0.4560975,0.4195955,0.4070919,0
637238813923722287,0.4614267,0.4582138,0.4201223,0.4100292,0
637238813923911689,0.4615781,0.4603234,0.4206171,0.4131019,0
637238813924081296,0.4618148,0.4624809,0.4210455,0.4162055,0
637238813924619793,0.4622462,0.4666682,0.4211985,0.4219974,0
637238813924759436,0.4623381,0.4685597,0.4209478,0.4245047,0
637238813924948930,0.4622557,0.4702368,0.4204078,0.4267351,0
637238813925537355,0.4610876,0.4743539,0.4172161,0.4314355,0
637238813925816595,0.4614171,0.4756584,0.4156565,0.4321284,0
637238813926355152,0.460539,0.4790906,0.410507,0.4312919,0
637238813926574566,0.4603246,0.4801287,0.4088383,0.4303888,0
637238813926724183,0.4603312,0.4805899,0.407404,0.4292949,0
637238813926933709,0.4605827,0.4803933,0.4063236,0.4280658,0
637238813927172976,0.4624039,0.47999,0.404268,0.4267798,0
637238813927322572,0.4638939,0.4795534,0.4026144,0.4245812,0
637238813927861124,0.4642598,0.4788844,0.4017124,0.4194146,0
637238813928010730,0.4651269,0.4775826,0.401118,0.4175034,0
637238813928180270,0.4665878,0.4757061,0.4010244,0.4150697,0
637238813928509388,0.4692856,0.4729325,0.4034718,0.4107161,0
637238813928649023,0.4704529,0.4712418,0.4042452,0.4099111,0
637238813928788643,0.4704529,0.4712418,0.4042452,0.4099111,0
637238813928988122,0.4723231,0.468996,0.4057921,0.4081429,0
637238813929626438,0.4759763,0.4638176,0.4127066,0.4044752,0
637238813929925609,0.4778922,0.4606975,0.4172258,0.4030968,0
637238813930085211,0.4795859,0.4587077,0.4194026,0.4024532,0
637238813930274696,0.4795065,0.4578055,0.4225405,0.4032756,0
637238813930563911,0.4796204,0.4559403,0.4241272,0.4036705,0
637238813931132404,0.4793115,0.4531915,0.4299176,0.4051739,0
637238813931311898,0.4785815,0.453196,0.4319155,0.407164,0
637238813931481444,0.477978,0.452326,0.4322884,0.4074008,0
637238813931790616,0.4769591,0.452824,0.4335079,0.4093334,0
637238813931970149,0.4755424,0.4521186,0.4332547,0.4103356,0
637238813932322890,0.4723607,0.4527538,0.4329153,0.4127049,0
637238813932881396,0.4679528,0.4563368,0.430781,0.4176678,0
637238813933200535,0.4659072,0.4568884,0.4291792,0.418669,0
637238813933370082,0.465419,0.4591508,0.4281078,0.4204767,0
637238813933539651,0.4627092,0.4597836,0.4264094,0.4218245,0
637238813933808911,0.4611224,0.4624186,0.4249024,0.4234501,0
637238813934417300,0.4571455,0.4660073,0.418904,0.4261438,0
637238813934656638,0.4552075,0.4694952,0.4161091,0.4284456,0
637238813934796273,0.4552075,0.4694952,0.4161091,0.4284456,0
637238813935075555,0.4544589,0.4706578,0.4143218,0.4298803,0
637238813935314879,0.4537268,0.4729412,0.4115213,0.4301433,0
637238813936013097,0.4541212,0.474909,0.4098483,0.4311326,0
637238813936252372,0.455146,0.474393,0.4099427,0.4312686,0
637238813936392007,0.455146,0.474393,0.4099427,0.4312686,0
637238813936591484,0.4554759,0.4748756,0.4104972,0.4297894,0
637238813936910678,0.4571662,0.4742438,0.4122763,0.4284187,0
637238813937576332,0.4605057,0.4689571,0.4149742,0.4247619,0
637238813937696003,0.4623432,0.4663962,0.4157341,0.4231386,0
637238813937865546,0.4631209,0.4647054,0.4174609,0.422687,0
637238813938134801,0.4660299,0.4631902,0.4195026,0.421234,0
637238813938314320,0.4662682,0.4608978,0.4208289,0.421513,0
637238813938483865,0.4668811,0.4605263,0.4240127,0.4193253,0
637238813939122158,0.4702637,0.4552043,0.4289116,0.4159249,0
637238813939351702,0.4722613,0.4529538,0.429805,0.4145302,0
637238813939551012,0.4724306,0.4515564,0.4318761,0.4149134,0
637238813939810383,0.4730769,0.4515926,0.4331923,0.4138987,0
637238813940199275,0.4743876,0.4494845,0.435945,0.4139017,0
637238813940827604,0.4747149,0.4495701,0.4374927,0.4140818,0
637238813941076942,0.4746665,0.4503272,0.4363216,0.4146782,0
637238813941296353,0.4736213,0.4511562,0.4369442,0.415252,0
637238813941615489,0.4750028,0.4525187,0.4358221,0.4154711,0
637238813941834930,0.4726066,0.4529143,0.4348393,0.417735,0
637238813942712573,0.4674185,0.4580981,0.4308164,0.4210041,0
637238813942941945,0.4659505,0.4610904,0.4287883,0.4244721,0
637238813943101522,0.4640553,0.4625258,0.426165,0.4245324,0
637238813943350928,0.4645121,0.4647507,0.4239373,0.4251517,0
637238813943899569,0.4612051,0.4688197,0.4198565,0.4283673,0
637238813944188618,0.4592438,0.4690307,0.4204686,0.4310102,0
637238813944348180,0.4568314,0.4696731,0.4183829,0.4307543,0
637238813944547660,0.4566541,0.4718296,0.4168276,0.4308216,0
637238813944866799,0.4561414,0.4715944,0.4167173,0.4327898,0
637238813945505098,0.4555965,0.4715683,0.4164899,0.4333941,0
637238813945684615,0.4560975,0.4731346,0.4160745,0.4326915,0
637238813946263225,0.4578833,0.4700937,0.4183205,0.4328147,0
637238813946572412,0.460588,0.4691958,0.4187547,0.4309476,0
637238813947160826,0.4610863,0.4654371,0.4224694,0.4286591,0
637238813947499926,0.4634197,0.4620543,0.4256389,0.4272126,0
637238813947839018,0.4647781,0.462263,0.4261076,0.425851,0
637238813948136114,0.4682518,0.4586056,0.4297303,0.4244387,0
637238813948854202,0.4708898,0.455463,0.4334592,0.4215351,0
637238813948993839,0.4708321,0.4569238,0.4334282,0.4198835,0
637238813949173350,0.4710911,0.455024,0.4338959,0.4190096,0
637238813949522413,0.4730743,0.4526037,0.4359994,0.4177988,0
637238813949672002,0.4729173,0.4536146,0.4356505,0.4166433,0
637238813950260434,0.4742922,0.4521252,0.4370826,0.4174421,0
637238813950529726,0.4754631,0.453725,0.4359564,0.4172404,0
637238813950888826,0.4725724,0.4536045,0.4357975,0.4173879,0
637238813951038346,0.4717467,0.45564,0.4348695,0.4173236,0
637238813951195251,0.4717467,0.45564,0.4348695,0.4173236,0
637238813951783664,0.4695723,0.4592299,0.4326357,0.419929,0
637238813952112784,0.4686003,0.4595021,0.4315442,0.4225219,0
637238813952387188,0.4666867,0.4604617,0.42954,0.4226924,0
637238813952616573,0.4653869,0.4629066,0.4282827,0.4238232,0
637238813952786109,0.4654194,0.4633527,0.4285092,0.4257881,0
637238813953678905,0.4619838,0.4673112,0.4240593,0.4296519,0
637238813953978025,0.4620714,0.4697087,0.423963,0.430995,0
637238813954187479,0.4596103,0.4694756,0.4222883,0.4324184,5
637238813954586427,0.4586788,0.4703245,0.42103,0.4323847,15
